JYCSM-WB-001	Baba Biswanath Digital Dreams	Biswajit Das	Gopalpur Bazar,Akuni,Chanditala,712701	Hooghly	West Bengal	All Type Of Computer Courses
JYCSM-WB-002	Natunhat Modern Computer Center	Md Yead Ali Molla	Chunarpukur,Bakultala,743338	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-003	Jatiya Yuva Computer Shaksharta Mission,Melatala	Sumonta Majhi	Melatala Bazar,713125.	Purba Bardhaman	West Bengal	All Type Of Computer Courses
JYCSM-WB-004	Roynagar Yuva Computer Academy	Trisha Acharya	Nabo Raynagar rail bajar,Naserkuli,Ranaghat,741238	Nadia	West Bengal	All Type Of Computer Courses
JYCSM-OD-005	Jatiya Yuva Computer Shaksharta Mission,R.Udayagiri	Monoj Kumar Sabat	High School Road,R.Udayagiri,761016	Gajapati	Odisha	All Type Of Computer Courses
JYCSM-WB-007	Fast Future Computer Academy	Sujata Mondal	4th floor, E/15 West Chowbaga,Gulshan Colony,700100	Kolkata	West Bengal	All Type Of Computer Courses
JYCSM-AS-008	Jatiya Yuva Computer Shaksharata Mission,Kabirali	Rubul Khakhlari	Kabirali,784525	Udalguri	Assam	All Type Of Computer Courses
JYCSM-WB-009	Vivekananda Study Center	Milan Manna	Purba Dakshin Moyna,Moyna,721629	Purba Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-010	Duttapulia Computer Traning And Art Centre	Shipra Saha	Duttapulia,741504	Nadia	West Bengal	All Type Of Computer Courses
JYCSM-WB-011	Diamond Harbour Main JYCSM	Kalyan Halder	Diamond Harbour,743331	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-012	Shimurali JYCSM Skill Development	Anup Sarkar	Shimurali,Sutergachi,JYCSM Building,741248	Nadia	West Bengal	All Type Of Computer & University Courses
JYCSM-WB-013	Hatgobindapur National Computer Institute	Palash Ghosh	Hatgobindapur,Near Bus Stand,713407	Purba Bardhaman	West Bengal	All Type Of Computer Courses
